Slug,Name,Price,Title,LiveUrl,CoverImage
hair-salon,"Hair Salon Owner",47,"Hair Salon Owner AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/hair-salon,images/hair-salon.jpg
teacher,"Teacher",29,"Teacher AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/teacher,images/teacher.jpg
photographer,"Photographer",39,"Photographer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/photographer,images/photographer.jpg
freelance-designer,"Freelance Designer",39,"Freelance Designer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/freelance-designer,images/freelance-designer.jpg
restaurant-owner,"Restaurant Owner",69,"Restaurant Owner AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/restaurant-owner,images/restaurant-owner.jpg
accountant,"Accountant",99,"Accountant AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/accountant,images/accountant.jpg
real-estate-agent,"Real Estate Agent",59,"Real Estate Agent AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/real-estate-agent,images/real-estate-agent.jpg
dentist,"Dentist",89,"Dentist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/dentist,images/dentist.jpg
personal-trainer,"Personal Trainer",29,"Personal Trainer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/personal-trainer,images/personal-trainer.jpg
hotel-owner,"Hotel Owner",129,"Hotel Owner AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/hotel-owner,images/hotel-owner.jpg
florist,"Florist",39,"Florist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/florist,images/florist.jpg
lawyer,"Lawyer",149,"Lawyer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/lawyer,images/lawyer.jpg
nurse,"Nurse",29,"Nurse AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/nurse,images/nurse.jpg
plumber,"Plumber",49,"Plumber AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/plumber,images/plumber.jpg
electrician,"Electrician",49,"Electrician AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/electrician,images/electrician.jpg
