Slug,Name,Price,Title,LiveUrl,CoverImage
hair-salon,"Hair Salon Owner",47,"[VIP PASS] Hair Salon Owner AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/hair-salon,images/hair-salon.jpg
teacher,"Teacher",29,"[VIP PASS] Teacher AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/teacher,images/teacher.jpg
photographer,"Photographer",39,"[VIP PASS] Photographer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/photographer,images/photographer.jpg
freelance-designer,"Freelance Designer",39,"[VIP PASS] Freelance Designer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/freelance-designer,images/freelance-designer.jpg
restaurant-owner,"Restaurant Owner",69,"[VIP PASS] Restaurant Owner AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/restaurant-owner,images/restaurant-owner.jpg
accountant,"Accountant",99,"[VIP PASS] Accountant AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/accountant,images/accountant.jpg
real-estate-agent,"Real Estate Agent",59,"[VIP PASS] Real Estate Agent AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/real-estate-agent,images/real-estate-agent.jpg
dentist,"Dentist",89,"[VIP PASS] Dentist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/dentist,images/dentist.jpg
personal-trainer,"Personal Trainer",29,"[VIP PASS] Personal Trainer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/personal-trainer,images/personal-trainer.jpg
hotel-owner,"Hotel Owner",129,"[VIP PASS] Hotel Owner AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/hotel-owner,images/hotel-owner.jpg
florist,"Florist",39,"[VIP PASS] Florist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/florist,images/florist.jpg
lawyer,"Lawyer",149,"[VIP PASS] Lawyer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/lawyer,images/lawyer.jpg
nurse,"Nurse",29,"[VIP PASS] Nurse AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/nurse,images/nurse.jpg
plumber,"Plumber",49,"[VIP PASS] Plumber AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/plumber,images/plumber.jpg
electrician,"Electrician",49,"[VIP PASS] Electrician AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/electrician,images/electrician.jpg
marketing-manager,"Marketing Manager",69,"[VIP PASS] Marketing Manager AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/marketing-manager,images/marketing-manager.jpg
virtual-assistant,"Virtual Assistant",29,"[VIP PASS] Virtual Assistant AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/virtual-assistant,images/virtual-assistant.jpg
copywriter,"Copywriter",49,"[VIP PASS] Copywriter AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/copywriter,images/copywriter.jpg
social-media-manager,"Social Media Manager",49,"[VIP PASS] Social Media Manager AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/social-media-manager,images/social-media-manager.jpg
chef,"Chef",49,"[VIP PASS] Chef AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/chef,images/chef.jpg
financial-analyst,"Financial Analyst",89,"[VIP PASS] Financial Analyst AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/financial-analyst,images/financial-analyst.jpg
software-engineer,"Software Engineer",99,"[VIP PASS] Software Engineer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/software-engineer,images/software-engineer.jpg
data-scientist,"Data Scientist",99,"[VIP PASS] Data Scientist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/data-scientist,images/data-scientist.jpg
hr-manager,"HR Manager",59,"[VIP PASS] HR Manager AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/hr-manager,images/hr-manager.jpg
architect,"Architect",89,"[VIP PASS] Architect AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/architect,images/architect.jpg
