Slug,Name,Price,Title,LiveUrl,CoverImage
hair-salon,"Hair Salon Owner",47,"The AI Survival Guide for Hair Salon Owners: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/hair-salon,images/hair-salon.jpg
teacher,"Teacher",29,"The AI Survival Guide for Teachers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/teacher,images/teacher.jpg
photographer,"Photographer",39,"The AI Survival Guide for Photographers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/photographer,images/photographer.jpg
freelance-designer,"Freelance Designer",39,"The AI Survival Guide for Freelance Designers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/freelance-designer,images/freelance-designer.jpg
restaurant-owner,"Restaurant Owner",69,"The AI Survival Guide for Restaurant Owners: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/restaurant-owner,images/restaurant-owner.jpg
accountant,"Accountant",99,"The AI Survival Guide for Accountants: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/accountant,images/accountant.jpg
real-estate-agent,"Real Estate Agent",59,"The AI Survival Guide for Real Estate Agents: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/real-estate-agent,images/real-estate-agent.jpg
dentist,"Dentist",89,"The AI Survival Guide for Dentists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/dentist,images/dentist.jpg
personal-trainer,"Personal Trainer",29,"The AI Survival Guide for Personal Trainers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/personal-trainer,images/personal-trainer.jpg
hotel-owner,"Hotel Owner",129,"The AI Survival Guide for Hotel Owners: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/hotel-owner,images/hotel-owner.jpg
florist,"Florist",39,"The AI Survival Guide for Florists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/florist,images/florist.jpg
lawyer,"Lawyer",149,"The AI Survival Guide for Lawyers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/lawyer,images/lawyer.jpg
nurse,"Nurse",29,"The AI Survival Guide for Nurses: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/nurse,images/nurse.jpg
plumber,"Plumber",49,"The AI Survival Guide for Plumbers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/plumber,images/plumber.jpg
electrician,"Electrician",49,"The AI Survival Guide for Electricians: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/electrician,images/electrician.jpg
marketing-manager,"Marketing Manager",69,"The AI Survival Guide for Marketing Managers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/marketing-manager,images/marketing-manager.jpg
virtual-assistant,"Virtual Assistant",29,"The AI Survival Guide for Virtual Assistants: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/virtual-assistant,images/virtual-assistant.jpg
copywriter,"Copywriter",49,"The AI Survival Guide for Copywriters: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/copywriter,images/copywriter.jpg
